location,year,plot,block,variety,inoculum,inocType,isolate,dt,odate,dap,syInc_dy,syinc_cum,myInc_obs,myInc_cum,myInc_dy,incAll4_dy,incAll4_cum,incAll4_obs,syInc_obs,germ_dy/dt,sy_dy/dt,can_cover
Live Oak,2020,116,1,GA06G,Scl-LE48,Scl,LE48,14,8/19/2020,96,5,15,10,70,5,10,75,15,5,0.357142857,0.357142857,100
Live Oak,2020,116,1,GA06G,Scl-LE48,Scl,LE48,14,9/2/2020,110,0,15,25,80,10,5,80,25,0,0.714285714,0,100
Live Oak,2020,116,1,GA06G,Scl-LE48,Scl,LE48,20,9/22/2020,130,25,40,0,80,0,5,85,25,25,0,1.25,100
Live Oak,2020,117,1,GA06G,Scl-JA25,Scl,JAMA225,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,63.15789474
Live Oak,2020,117,1,GA06G,Scl-JA25,Scl,JAMA225,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,90.13157895
Live Oak,2020,117,1,GA06G,Scl-JA25,Scl,JAMA225,14,8/5/2020,82,0,0,40,50,35,35,50,40,0,2.5,0,98
Live Oak,2020,117,1,GA06G,Scl-JA25,Scl,JAMA225,14,8/19/2020,96,0,0,35,70,20,20,70,35,0,1.428571429,0,100
Live Oak,2020,117,1,GA06G,Scl-JA25,Scl,JAMA225,14,9/2/2020,110,10,10,35,75,5,5,75,35,10,0.357142857,0.714285714,100
Live Oak,2020,117,1,GA06G,Scl-JA25,Scl,JAMA225,20,9/22/2020,130,5,15,0,75,0,5,80,5,5,0,0.25,100
Live Oak,2020,119,1,GA06G,Grn-MA22,Grn,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,63.81578947
Live Oak,2020,119,1,GA06G,Grn-MA22,Grn,MA22,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,86.84210526
Live Oak,2020,119,1,GA06G,Grn-MA22,Grn,MA22,14,8/5/2020,82,25,25,60,60,60,60,60,60,25,4.285714286,1.785714286,99
Live Oak,2020,119,1,GA06G,Grn-MA22,Grn,MA22,14,8/19/2020,96,20,45,45,75,15,20,80,50,30,1.071428571,1.428571429,100
Live Oak,2020,119,1,GA06G,Grn-MA22,Grn,MA22,14,9/2/2020,110,20,65,55,90,15,10,90,75,50,1.071428571,1.428571429,100
Live Oak,2020,119,1,GA06G,Grn-MA22,Grn,MA22,20,9/22/2020,130,20,85,0,90,0,5,95,80,80,0,1,100
Live Oak,2020,120,1,GA06G,Cont-Grn,G_c,0,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,61.84210526
Live Oak,2020,120,1,GA06G,Cont-Grn,G_c,0,14,7/22/2020,68,5,5,10,10,10,10,10,10,5,0.714285714,0.357142857,96.71052632
Live Oak,2020,120,1,GA06G,Cont-Grn,G_c,0,14,8/5/2020,82,20,25,45,50,40,40,50,45,25,2.857142857,1.428571429,95
Live Oak,2020,120,1,GA06G,Cont-Grn,G_c,0,14,8/19/2020,96,35,60,45,80,30,40,90,65,45,2.142857143,2.5,100
Live Oak,2020,120,1,GA06G,Cont-Grn,G_c,0,14,9/2/2020,110,5,65,5,80,0,0,90,20,15,0,0.357142857,100
Live Oak,2020,120,1,GA06G,Cont-Grn,G_c,0,20,9/22/2020,130,10,75,0,80,0,0,90,10,10,0,0.5,100
Live Oak,2020,121,1,GA06G,Control,Con,0,54,7/8/2020,54,0,0,5,5,5,5,5,5,0,0.092592593,0,67.10526316
Live Oak,2020,121,1,GA06G,Control,Con,0,14,7/22/2020,68,0,0,5,5,0,0,5,5,0,0,0,94.73684211
Live Oak,2020,121,1,GA06G,Control,Con,0,14,8/5/2020,82,15,15,50,50,45,45,50,50,15,3.214285714,1.071428571,98
Live Oak,2020,121,1,GA06G,Control,Con,0,14,8/19/2020,96,15,30,20,50,0,5,55,30,15,0,1.071428571,100
Live Oak,2020,121,1,GA06G,Control,Con,0,14,9/2/2020,110,0,30,15,55,5,0,55,15,10,0.357142857,0,100
Live Oak,2020,121,1,GA06G,Control,Con,0,20,9/22/2020,130,0,30,0,55,0,0,55,5,5,0,0,100
Live Oak,2020,202,2,TUF297,Scl-MA22,Scl,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,56.57894737
Live Oak,2020,202,2,TUF297,Scl-MA22,Scl,MA22,14,7/22/2020,68,0,0,5,5,5,5,5,5,0,0.357142857,0,100
Live Oak,2020,202,2,TUF297,Scl-MA22,Scl,MA22,14,8/5/2020,82,0,0,15,20,15,15,20,15,0,1.071428571,0,98
Live Oak,2020,202,2,TUF297,Scl-MA22,Scl,MA22,14,8/19/2020,96,0,0,0,20,0,0,20,0,0,0,0,100
Live Oak,2020,202,2,TUF297,Scl-MA22,Scl,MA22,14,9/2/2020,110,0,0,5,25,5,5,25,5,0,0.357142857,0,100
Live Oak,2020,202,2,TUF297,Scl-MA22,Scl,MA22,20,9/22/2020,130,25,25,0,25,0,15,40,25,25,0,1.25,100
Live Oak,2020,204,2,TUF297,Scl-LE48,Scl,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,62.5
Live Oak,2020,204,2,TUF297,Scl-LE48,Scl,LE48,14,7/22/2020,68,0,0,10,10,10,10,10,10,0,0.714285714,0,100
Live Oak,2020,204,2,TUF297,Scl-LE48,Scl,LE48,14,8/5/2020,82,0,0,25,30,20,20,30,25,0,1.428571429,0,98
Live Oak,2020,204,2,TUF297,Scl-LE48,Scl,LE48,14,8/19/2020,96,0,0,0,30,0,0,30,0,0,0,0,100
Live Oak,2020,204,2,TUF297,Scl-LE48,Scl,LE48,14,9/2/2020,110,0,0,10,40,10,10,40,10,0,0.714285714,0,100
Live Oak,2020,204,2,TUF297,Scl-LE48,Scl,LE48,20,9/22/2020,130,35,35,0,40,0,20,60,35,35,0,1.75,100
Live Oak,2020,205,2,TUF297,Cont-Grn,G_c,0,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,69.73684211
Live Oak,2020,205,2,TUF297,Cont-Grn,G_c,0,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,96.71052632
Live Oak,2020,205,2,TUF297,Cont-Grn,G_c,0,14,8/5/2020,82,10,10,40,40,40,40,40,30,10,2.857142857,0.714285714,99
Live Oak,2020,205,2,TUF297,Cont-Grn,G_c,0,14,8/19/2020,96,5,15,20,45,5,5,45,20,5,0.357142857,0.357142857,100
Live Oak,2020,205,2,TUF297,Cont-Grn,G_c,0,14,9/2/2020,110,0,15,5,45,0,0,45,5,0,0,0,100
Live Oak,2020,205,2,TUF297,Cont-Grn,G_c,0,20,9/22/2020,130,50,65,0,45,0,30,75,60,60,0,2.5,100
Live Oak,2020,207,2,TUF297,Scl-JA25,Scl,JAMA225,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,53.94736842
Live Oak,2020,207,2,TUF297,Scl-JA25,Scl,JAMA225,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,100
Live Oak,2020,207,2,TUF297,Scl-JA25,Scl,JAMA225,14,8/5/2020,82,5,5,15,15,15,15,15,15,5,1.071428571,0.357142857,100
Live Oak,2020,207,2,TUF297,Scl-JA25,Scl,JAMA225,14,8/19/2020,96,20,25,10,25,10,25,40,30,25,0.714285714,1.428571429,100
Live Oak,2020,207,2,TUF297,Scl-JA25,Scl,JAMA225,14,9/2/2020,110,0,25,5,30,5,0,40,5,0,0.357142857,0,100
Live Oak,2020,207,2,TUF297,Scl-JA25,Scl,JAMA225,20,9/22/2020,130,30,55,0,30,0,20,60,40,40,0,1.5,100
Live Oak,2020,208,2,TUF297,Grn-MA22,Grn,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,71.05263158
Live Oak,2020,208,2,TUF297,Grn-MA22,Grn,MA22,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,100
Live Oak,2020,208,2,TUF297,Grn-MA22,Grn,MA22,14,8/5/2020,82,0,0,65,65,65,65,65,65,0,4.642857143,0,97
Live Oak,2020,208,2,TUF297,Grn-MA22,Grn,MA22,14,8/19/2020,96,10,10,5,65,0,0,65,15,10,0,0.714285714,100
Live Oak,2020,208,2,TUF297,Grn-MA22,Grn,MA22,14,9/2/2020,110,20,30,25,70,5,5,70,25,20,0.357142857,1.428571429,100
Live Oak,2020,208,2,TUF297,Grn-MA22,Grn,MA22,20,9/22/2020,130,40,70,0,70,0,15,85,60,60,0,2,100
Live Oak,2020,209,2,TUF297,Control,Con,0,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,67.10526316
Live Oak,2020,209,2,TUF297,Control,Con,0,14,7/22/2020,68,0,0,5,5,5,5,5,5,0,0.357142857,0,100
Live Oak,2020,209,2,TUF297,Control,Con,0,14,8/5/2020,82,0,0,30,35,30,30,35,30,0,2.142857143,0,96
Live Oak,2020,209,2,TUF297,Control,Con,0,14,8/19/2020,96,5,5,0,35,0,0,35,5,5,0,0.357142857,100
Live Oak,2020,209,2,TUF297,Control,Con,0,14,9/2/2020,110,0,5,0,35,0,0,35,0,0,0,0,100
Live Oak,2020,209,2,TUF297,Control,Con,0,20,9/22/2020,130,25,30,0,35,0,15,50,30,30,0,1.25,100
Live Oak,2020,210,2,TUF297,Grn-LE48,Grn,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,69.07894737
Live Oak,2020,210,2,TUF297,Grn-LE48,Grn,LE48,14,7/22/2020,68,5,5,10,10,10,10,10,10,5,0.714285714,0.357142857,100
Live Oak,2020,210,2,TUF297,Grn-LE48,Grn,LE48,14,8/5/2020,82,0,5,30,40,30,30,40,30,0,2.142857143,0,96
Live Oak,2020,210,2,TUF297,Grn-LE48,Grn,LE48,14,8/19/2020,96,5,10,10,45,5,10,50,15,5,0.357142857,0.357142857,100
Live Oak,2020,210,2,TUF297,Grn-LE48,Grn,LE48,14,9/2/2020,110,0,10,15,50,5,0,50,15,0,0.357142857,0,100
Live Oak,2020,210,2,TUF297,Grn-LE48,Grn,LE48,20,9/22/2020,130,35,45,0,50,0,15,65,40,40,0,1.75,100
Live Oak,2020,211,2,TUF297,Grn-JA25,Grn,JAMA225,54,7/8/2020,54,0,0,5,5,5,5,5,5,0,0.092592593,0,64.47368421
Live Oak,2020,211,2,TUF297,Grn-JA25,Grn,JAMA225,14,7/22/2020,68,0,0,5,10,5,5,10,5,0,0.357142857,0,100
Live Oak,2020,211,2,TUF297,Grn-JA25,Grn,JAMA225,14,8/5/2020,82,0,0,35,40,30,30,40,35,0,2.142857143,0,100
Live Oak,2020,211,2,TUF297,Grn-JA25,Grn,JAMA225,14,8/19/2020,96,0,0,10,45,5,5,45,10,0,0.357142857,0,100
Live Oak,2020,211,2,TUF297,Grn-JA25,Grn,JAMA225,14,9/2/2020,110,0,0,0,45,0,0,45,0,0,0,0,100
Live Oak,2020,211,2,TUF297,Grn-JA25,Grn,JAMA225,20,9/22/2020,130,35,35,0,45,0,20,65,35,35,0,1.75,100
Live Oak,2020,212,2,GA06G,Grn-LE48,Grn,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,54.60526316
Live Oak,2020,212,2,GA06G,Grn-LE48,Grn,LE48,14,7/22/2020,68,0,0,5,5,5,5,5,5,0,0.357142857,0,80.26315789
Live Oak,2020,212,2,GA06G,Grn-LE48,Grn,LE48,14,8/5/2020,82,15,15,70,70,65,65,70,70,15,4.642857143,1.071428571,98
Live Oak,2020,212,2,GA06G,Grn-LE48,Grn,LE48,14,8/19/2020,96,10,25,30,70,0,5,75,45,20,0,0.714285714,100
Live Oak,2020,212,2,GA06G,Grn-LE48,Grn,LE48,14,9/2/2020,110,0,25,20,75,5,0,75,25,5,0.357142857,0,100
Live Oak,2020,212,2,GA06G,Grn-LE48,Grn,LE48,20,9/22/2020,130,15,40,0,75,0,10,85,35,35,0,0.75,100
Live Oak,2020,213,2,GA06G,Scl-LE48,Scl,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,52.63157895
Live Oak,2020,213,2,GA06G,Scl-LE48,Scl,LE48,14,7/22/2020,68,0,0,10,10,10,10,10,10,0,0.714285714,0,79.60526316
Live Oak,2020,213,2,GA06G,Scl-LE48,Scl,LE48,14,8/5/2020,82,10,10,55,55,45,45,55,55,10,3.214285714,0.714285714,99
Live Oak,2020,213,2,GA06G,Scl-LE48,Scl,LE48,14,8/19/2020,96,10,20,20,65,10,10,65,25,10,0.714285714,0.714285714,100
Live Oak,2020,213,2,GA06G,Scl-LE48,Scl,LE48,14,9/2/2020,110,15,35,10,65,0,5,70,25,15,0,1.071428571,100
Live Oak,2020,213,2,GA06G,Scl-LE48,Scl,LE48,20,9/22/2020,130,15,50,0,65,0,0,70,30,30,0,0.75,100
Live Oak,2020,215,2,GA06G,Cont-Grn,G_c,0,54,7/8/2020,54,0,0,5,5,5,5,5,5,0,0.092592593,0,57.23684211
Live Oak,2020,215,2,GA06G,Cont-Grn,G_c,0,14,7/22/2020,68,0,0,30,30,25,25,30,30,0,1.785714286,0,82.23684211
Live Oak,2020,215,2,GA06G,Cont-Grn,G_c,0,14,8/5/2020,82,5,5,70,85,55,35,65,45,5,3.928571429,0.357142857,97
Live Oak,2020,215,2,GA06G,Cont-Grn,G_c,0,14,8/19/2020,96,5,10,5,90,5,5,70,10,5,0.357142857,0.357142857,100
Live Oak,2020,215,2,GA06G,Cont-Grn,G_c,0,14,9/2/2020,110,35,45,45,95,5,15,85,55,40,0.357142857,2.5,100
Live Oak,2020,215,2,GA06G,Cont-Grn,G_c,0,20,9/22/2020,130,20,65,0,95,0,10,95,20,20,0,1,100
Live Oak,2020,216,2,GA06G,Scl-MA22,Scl,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,63.81578947
Live Oak,2020,216,2,GA06G,Scl-MA22,Scl,MA22,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,84.21052632
Live Oak,2020,216,2,GA06G,Scl-MA22,Scl,MA22,14,8/5/2020,82,0,0,35,35,35,35,35,35,0,2.5,0,97
Live Oak,2020,216,2,GA06G,Scl-MA22,Scl,MA22,14,8/19/2020,96,10,10,10,40,5,5,40,15,10,0.357142857,0.714285714,100
Live Oak,2020,216,2,GA06G,Scl-MA22,Scl,MA22,14,9/2/2020,110,5,15,5,45,5,5,45,10,10,0.357142857,0.357142857,100
Live Oak,2020,216,2,GA06G,Scl-MA22,Scl,MA22,20,9/22/2020,130,35,50,0,45,0,15,60,50,50,0,1.75,100
Live Oak,2020,218,2,GA06G,Grn-MA22,Grn,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,59.86842105
Live Oak,2020,218,2,GA06G,Grn-MA22,Grn,MA22,14,7/22/2020,68,0,0,5,5,5,5,5,5,0,0.357142857,0,82.89473684
Live Oak,2020,218,2,GA06G,Grn-MA22,Grn,MA22,14,8/5/2020,82,25,25,75,75,70,70,75,75,25,5,1.785714286,98
Live Oak,2020,218,2,GA06G,Grn-MA22,Grn,MA22,14,8/19/2020,96,15,40,20,80,5,10,85,30,20,0.357142857,1.071428571,100
Live Oak,2020,218,2,GA06G,Grn-MA22,Grn,MA22,14,9/2/2020,110,40,80,65,90,10,10,95,75,65,0.714285714,2.857142857,100
Live Oak,2020,218,2,GA06G,Grn-MA22,Grn,MA22,20,9/22/2020,130,15,95,0,90,0,0,95,65,65,0,0.75,100
Live Oak,2020,219,2,GA06G,Scl-JA25,Scl,JAMA225,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,63.81578947
Live Oak,2020,219,2,GA06G,Scl-JA25,Scl,JAMA225,14,7/22/2020,68,0,0,20,20,20,20,20,20,0,1.428571429,0,96.71052632
Live Oak,2020,219,2,GA06G,Scl-JA25,Scl,JAMA225,14,8/5/2020,82,25,25,70,80,60,60,80,70,25,4.285714286,1.785714286,95
Live Oak,2020,219,2,GA06G,Scl-JA25,Scl,JAMA225,14,8/19/2020,96,10,35,20,80,0,5,85,35,25,0,0.714285714,100
Live Oak,2020,219,2,GA06G,Scl-JA25,Scl,JAMA225,14,9/2/2020,110,15,50,20,90,10,10,95,30,20,0.714285714,1.071428571,100
Live Oak,2020,219,2,GA06G,Scl-JA25,Scl,JAMA225,20,9/22/2020,130,0,50,0,90,0,0,95,20,20,0,0,100
Live Oak,2020,220,2,GA06G,Control,Con,0,54,7/8/2020,54,0,0,5,5,5,5,5,5,0,0.092592593,0,77.63157895
Live Oak,2020,220,2,GA06G,Control,Con,0,14,7/22/2020,68,0,0,15,20,15,15,20,15,0,1.071428571,0,100
Live Oak,2020,220,2,GA06G,Control,Con,0,14,8/5/2020,82,10,10,60,60,40,40,60,60,10,2.857142857,0.714285714,99
Live Oak,2020,220,2,GA06G,Control,Con,0,14,8/19/2020,96,30,40,10,65,5,10,70,40,30,0.357142857,2.142857143,100
Live Oak,2020,220,2,GA06G,Control,Con,0,14,9/2/2020,110,10,50,25,65,0,5,75,50,30,0,0.714285714,100
Live Oak,2020,220,2,GA06G,Control,Con,0,20,9/22/2020,130,20,70,0,65,0,10,85,40,40,0,1,100
Live Oak,2020,222,2,GA06G,Grn-JA25,Grn,JAMA225,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,61.84210526
Live Oak,2020,222,2,GA06G,Grn-JA25,Grn,JAMA225,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,86.18421053
Live Oak,2020,222,2,GA06G,Grn-JA25,Grn,JAMA225,14,8/5/2020,82,10,10,50,60,45,45,60,50,10,3.214285714,0.714285714,98
Live Oak,2020,222,2,GA06G,Grn-JA25,Grn,JAMA225,14,8/19/2020,96,25,35,20,60,0,0,60,30,30,0,1.785714286,100
Live Oak,2020,222,2,GA06G,Grn-JA25,Grn,JAMA225,14,9/2/2020,110,15,50,30,70,10,15,75,45,25,0.714285714,1.071428571,100
Live Oak,2020,222,2,GA06G,Grn-JA25,Grn,JAMA225,20,9/22/2020,130,5,55,0,70,0,5,80,35,35,0,0.25,100
Live Oak,2020,301,3,GA06G,Grn-JA25,Grn,JAMA225,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,55.92105263
Live Oak,2020,301,3,GA06G,Grn-JA25,Grn,JAMA225,14,7/22/2020,68,0,0,20,20,20,20,20,20,0,1.428571429,0,93.42105263
Live Oak,2020,301,3,GA06G,Grn-JA25,Grn,JAMA225,14,8/5/2020,82,15,15,70,75,55,55,75,70,15,3.928571429,1.071428571,100
Live Oak,2020,301,3,GA06G,Grn-JA25,Grn,JAMA225,14,8/19/2020,96,0,15,0,75,0,0,75,5,5,0,0,100
Live Oak,2020,301,3,GA06G,Grn-JA25,Grn,JAMA225,14,9/2/2020,110,15,30,25,80,5,5,80,25,20,0.357142857,1.071428571,100
Live Oak,2020,301,3,GA06G,Grn-JA25,Grn,JAMA225,20,9/22/2020,130,50,80,0,80,0,5,85,65,65,0,2.5,100
Live Oak,2020,302,3,GA06G,Scl-MA22,Scl,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,54.60526316
Live Oak,2020,302,3,GA06G,Scl-MA22,Scl,MA22,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,77.63157895
Live Oak,2020,302,3,GA06G,Scl-MA22,Scl,MA22,14,8/5/2020,82,20,20,55,65,50,50,65,55,20,3.571428571,1.428571429,100
Live Oak,2020,302,3,GA06G,Scl-MA22,Scl,MA22,14,8/19/2020,96,5,25,35,85,20,20,85,35,10,1.428571429,0.357142857,100
Live Oak,2020,302,3,GA06G,Scl-MA22,Scl,MA22,14,9/2/2020,110,10,35,15,85,0,5,90,25,10,0,0.714285714,100
Live Oak,2020,302,3,GA06G,Scl-MA22,Scl,MA22,20,9/22/2020,130,15,50,0,85,0,5,95,15,15,0,0.75,100
Live Oak,2020,305,3,GA06G,Grn-MA22,Grn,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,52.63157895
Live Oak,2020,305,3,GA06G,Grn-MA22,Grn,MA22,14,7/22/2020,68,0,0,10,10,10,10,10,10,0,0.714285714,0,80.92105263
Live Oak,2020,305,3,GA06G,Grn-MA22,Grn,MA22,14,8/5/2020,82,5,5,35,35,25,25,35,35,5,1.785714286,0.357142857,98
Live Oak,2020,305,3,GA06G,Grn-MA22,Grn,MA22,14,8/19/2020,96,25,30,15,45,10,15,50,30,25,0.714285714,1.785714286,100
Live Oak,2020,305,3,GA06G,Grn-MA22,Grn,MA22,14,9/2/2020,110,10,40,50,70,25,20,70,50,30,1.785714286,0.714285714,100
Live Oak,2020,305,3,GA06G,Grn-MA22,Grn,MA22,20,9/22/2020,130,35,75,0,70,0,25,95,55,55,0,1.75,100
Live Oak,2020,306,3,GA06G,Cont-Grn,G_c,0,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,64.47368421
Live Oak,2020,306,3,GA06G,Cont-Grn,G_c,0,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,100
Live Oak,2020,306,3,GA06G,Cont-Grn,G_c,0,14,8/5/2020,82,15,15,60,70,55,55,70,60,15,3.928571429,1.071428571,100
Live Oak,2020,306,3,GA06G,Cont-Grn,G_c,0,14,8/19/2020,96,10,25,25,75,5,10,80,35,15,0.357142857,0.714285714,100
Live Oak,2020,306,3,GA06G,Cont-Grn,G_c,0,14,9/2/2020,110,15,40,10,75,0,0,80,30,25,0,1.071428571,100
Live Oak,2020,306,3,GA06G,Cont-Grn,G_c,0,20,9/22/2020,130,45,85,25,75,0,5,85,35,60,0,2.25,100
Live Oak,2020,307,3,GA06G,Grn-LE48,Grn,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,61.18421053
Live Oak,2020,307,3,GA06G,Grn-LE48,Grn,LE48,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,81.57894737
Live Oak,2020,307,3,GA06G,Grn-LE48,Grn,LE48,14,8/5/2020,82,10,10,40,50,35,35,50,40,10,2.5,0.714285714,100
Live Oak,2020,307,3,GA06G,Grn-LE48,Grn,LE48,14,8/19/2020,96,40,50,35,70,20,30,80,50,40,1.428571429,2.857142857,100
Live Oak,2020,307,3,GA06G,Grn-LE48,Grn,LE48,14,9/2/2020,110,20,70,15,70,0,10,90,60,60,0,1.428571429,100
Live Oak,2020,307,3,GA06G,Grn-LE48,Grn,LE48,20,9/22/2020,130,10,80,0,70,0,5,95,50,50,0,0.5,100
Live Oak,2020,308,3,GA06G,Control,Con,0,54,7/8/2020,54,0,0,5,5,5,5,5,5,0,0.092592593,0,78.28947368
Live Oak,2020,308,3,GA06G,Control,Con,0,14,7/22/2020,68,0,0,15,20,15,15,20,15,0,1.071428571,0,98.68421053
Live Oak,2020,308,3,GA06G,Control,Con,0,14,8/5/2020,82,15,15,60,65,45,45,65,60,15,3.214285714,1.071428571,98
Live Oak,2020,308,3,GA06G,Control,Con,0,14,8/19/2020,96,15,30,50,80,15,15,80,60,25,1.071428571,1.071428571,100
Live Oak,2020,308,3,GA06G,Control,Con,0,14,9/2/2020,110,10,40,15,85,5,5,85,35,20,0.357142857,0.714285714,100
Live Oak,2020,308,3,GA06G,Control,Con,0,20,9/22/2020,130,30,70,0,85,0,5,90,45,45,0,1.5,100
Live Oak,2020,310,3,GA06G,Scl-JA25,Scl,JAMA225,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,75
Live Oak,2020,310,3,GA06G,Scl-JA25,Scl,JAMA225,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,100
Live Oak,2020,310,3,GA06G,Scl-JA25,Scl,JAMA225,14,8/5/2020,82,25,25,60,65,50,50,65,60,25,3.571428571,1.785714286,96
Live Oak,2020,310,3,GA06G,Scl-JA25,Scl,JAMA225,14,8/19/2020,96,15,40,35,75,10,10,75,40,30,0.714285714,1.071428571,100
Live Oak,2020,310,3,GA06G,Scl-JA25,Scl,JAMA225,14,9/2/2020,110,25,65,5,75,0,15,90,40,40,0,1.785714286,100
Live Oak,2020,310,3,GA06G,Scl-JA25,Scl,JAMA225,20,9/22/2020,130,0,65,0,75,0,0,90,0,0,0,0,100
Live Oak,2020,311,3,GA06G,Scl-LE48,Scl,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,59.86842105
Live Oak,2020,311,3,GA06G,Scl-LE48,Scl,LE48,14,7/22/2020,68,0,0,15,15,15,15,15,15,0,1.071428571,0,84.86842105
Live Oak,2020,311,3,GA06G,Scl-LE48,Scl,LE48,14,8/5/2020,82,5,5,45,55,40,40,55,45,5,2.857142857,0.357142857,98
Live Oak,2020,311,3,GA06G,Scl-LE48,Scl,LE48,14,8/19/2020,96,20,25,30,60,5,5,60,35,25,0.357142857,1.428571429,100
Live Oak,2020,311,3,GA06G,Scl-LE48,Scl,LE48,14,9/2/2020,110,10,35,15,65,5,5,65,15,15,0.357142857,0.714285714,100
Live Oak,2020,311,3,GA06G,Scl-LE48,Scl,LE48,20,9/22/2020,130,10,45,0,65,0,10,75,30,30,0,0.5,100
Live Oak,2020,312,3,TUF297,Scl-LE48,Scl,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,66.44736842
Live Oak,2020,312,3,TUF297,Scl-LE48,Scl,LE48,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,100
Live Oak,2020,312,3,TUF297,Scl-LE48,Scl,LE48,14,8/5/2020,82,0,0,5,5,5,5,5,5,0,0.357142857,0,98
Live Oak,2020,312,3,TUF297,Scl-LE48,Scl,LE48,14,8/19/2020,96,0,0,5,10,5,5,10,5,0,0.357142857,0,100
Live Oak,2020,312,3,TUF297,Scl-LE48,Scl,LE48,14,9/2/2020,110,0,0,25,30,20,20,30,25,0,1.428571429,0,100
Live Oak,2020,312,3,TUF297,Scl-LE48,Scl,LE48,20,9/22/2020,130,0,0,0,30,0,0,30,0,0,0,0,100
Live Oak,2020,314,3,TUF297,Grn-MA22,Grn,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,54.60526316
Live Oak,2020,314,3,TUF297,Grn-MA22,Grn,MA22,14,7/22/2020,68,0,0,5,5,5,5,5,5,0,0.357142857,0,100
Live Oak,2020,314,3,TUF297,Grn-MA22,Grn,MA22,14,8/5/2020,82,0,0,5,10,5,5,10,5,0,0.357142857,0,99
Live Oak,2020,314,3,TUF297,Grn-MA22,Grn,MA22,14,8/19/2020,96,0,0,10,20,10,10,20,10,0,0.714285714,0,100
Live Oak,2020,314,3,TUF297,Grn-MA22,Grn,MA22,14,9/2/2020,110,0,0,0,20,0,0,20,0,0,0,0,100
Live Oak,2020,314,3,TUF297,Grn-MA22,Grn,MA22,20,9/22/2020,130,0,0,0,20,0,0,20,0,0,0,0,100
Live Oak,2020,315,3,TUF297,Scl-MA22,Scl,MA22,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,62.5
Live Oak,2020,315,3,TUF297,Scl-MA22,Scl,MA22,14,7/22/2020,68,0,0,0,0,0,0,0,0,0,0,0,100
Live Oak,2020,315,3,TUF297,Scl-MA22,Scl,MA22,14,8/5/2020,82,0,0,0,0,0,0,0,0,0,0,0,96
Live Oak,2020,315,3,TUF297,Scl-MA22,Scl,MA22,14,8/19/2020,96,0,0,10,10,10,10,10,10,0,0.714285714,0,100
Live Oak,2020,315,3,TUF297,Scl-MA22,Scl,MA22,14,9/2/2020,110,0,0,5,15,5,5,15,5,0,0.357142857,0,100
Live Oak,2020,315,3,TUF297,Scl-MA22,Scl,MA22,20,9/22/2020,130,0,0,0,15,0,0,15,0,0,0,0,100
Live Oak,2020,317,3,TUF297,Grn-LE48,Grn,LE48,54,7/8/2020,54,0,0,0,0,0,0,0,0,0,0,0,70.39473684
